The millets were the major religious groups that were allowed to establish their own communities under Ottoman rule.	The elite learned French at school, and used European products as a fashion statement.	 The Baghdad Railway under German control was a proposal to build rail lines into Iraq.	By the end of Suleiman's reign, the Empire's population totaled about 15,000,000 people.	Previously, the Byzantines considered the Armenian Church as heretical and thus did not allow them to build churches inside the walls of Constantinople.	
The flights were suspended in 1991 after the dissolution of the Soviet Union.	December 8 – The 2007 Africa-EU Summit takes place as European Union and African Union leaders gather in Lisbon, Portugal, for their first joint summit in 7 years.	January 12 – Comet C/2006 P1 (McNaught), the brightest comet in more than 40 years, makes perihelion.	March 1 – The International Polar Year, a $1.5 billion research program to study both the North Pole and South Pole, is launched in Paris.	Richard Jewell, American falsely accused of bombing the Centennial Olympic Park (b.	
April 14 – Retired Russian chess champion Garry Kasparov, is detained in Moscow after participating in a banned protest march against the President of the Russian Federation, Vladimir Putin.	Riots erupt in Mombasa, Kenya, after Mwai Kibaki is declared the winner of the presidential election, triggering a political, economic, and humanitarian crisis.	January 8 – Russian oil supplies to Poland, Germany, and Ukraine are cut as the Russia-Belarus energy dispute escalates; they are restored 3 days later.	December 8 – The 2007 Africa-EU Summit takes place as European Union and African Union leaders gather in Lisbon, Portugal, for their first joint summit in 7 years.	November 16 – Approximately 10,000 people are believed to have died after Cyclone Sidr hits Bangladesh.	
 The Taliban seized Kabul on 27 September 1996, and established the Islamic Emirate of Afghanistan.	Some non-Pashtuns who live in close proximity with Pashtuns have adopted Pashtunwali in a process called Pashtunization (or Afghanization) while some Pashtuns have been Persianized.	Afghanistan National Television was launched in 1974 but was closed in 1996 when the media was tightly controlled by the Taliban.	 An estimated 8,000 Pakistani militants were recruited in madrassas filling the ranks of the estimated 25,000 regular Taliban force.	From 1996 to 2001 the al-Qaeda terrorist network of Osama bin Laden and Ayman al-Zawahiri became a state within Afghanistan.	
"I should say that Taliban are not fighting to be accommodated.	India and Iran have actively participated in reconstruction efforts in Afghanistan, with India being the largest regional donor to the country.	 The government started programs to help reduce cultivation of poppy, and by 2010 it was reported that 24 out of the 34 provinces were free from poppy grow.	One of the Buddhas of Bamiyan, Buddhism was widespread in the region before the Islamic conquest of Afghanistan	The political history of the modern state of Afghanistan begins in 1709, when the Hotaki dynasty was established in Kandahar followed by Ahmad Shah Durrani's rise to power in 1747.	
After Timur Shah's death in 1793, the Durrani throne was passed down to his son Zaman Shah followed by Mahmud Shah, Shuja Shah and others.	After the Third Anglo-Afghan War and the signing of the Treaty of Rawalpindi in 1919, King Amanullah Khan declared Afghanistan a sovereign and fully independent state.	In October 1772, Ahmad Shah Durrani died of a natural cause and was buried at a site now adjacent to the Shrine of the Cloak in Kandahar.	Prince Mohammed Nadir Shah, Amanullah's cousin, in turn defeated and killed Kalakani in November 1929, and was declared King Nadir Shah.	London: Ahmed Rashid in the Telegraph.	
Shimr was angry, said that he would have to do it himself and wearing his armor, he went to where Imam Husain was.	Before the death of Abbas, Husain ibn Ali said: "Abbas your death is like the breaking of my back".	This time when Shimr asked him why he had not killed him, he said he saw into his eyes and saw the angry look of Ali ibn Abi Talib.	When the horsemen came back to charge at them again, Husain's men met them with their arrows, killing some of them and wounding others.	" Then he raised his head up and said: "Oh my God!	
^ Then known as the Zionist Organization	It became a symbol of the Zionist reconstruction and of the ability to experience joy amidst austerity.	A carpet of red Anemone coronaria flowers, northern Negev (winter).	 Further south is the Arabah, ending with the Gulf of Eilat, part of the Red Sea.	During the 1991 Gulf War, the PLO supported Saddam Hussein and Iraqi Scud missile attacks against Israel.	
The White Paper leading to Aliyah Bet is discussed "Aliyah During World War II and its Aftermath".	This was a major cause of the Arab revolt of 1936–1939 and led the British to introduce restrictions on Jewish immigration to Palestine with the White Paper of 1939.	In contrast, the West Bank has remained under military occupation, and Palestinians in this area cannot become citizens.	 By 1966, Israeli-Arab relations had deteriorated to the point of actual battles taking place between Israeli and Arab forces.	^ "Desalination plant could make Israel water exporter".	
The village administration level is the most influential on a citizen's daily life, and handles matters of a village or neighborhood through an elected lurah or kepala desa (village chief).	Following the implementation of regional autonomy measures in 2001, the regencies and cities have become the key administrative units, responsible for providing most government services.	Each province has its own legislature and governor.	The provinces of Aceh, Jakarta, Yogyakarta, Papua, and West Papua have greater legislative privileges and a higher degree of autonomy from the central government than the other provinces.	 Papua, formerly known as Irian Jaya, was granted special autonomy status in 2001 and was separated into Papua and West Papua in February 2003.	
However, the presidency was later given to Yuan Shikai, a former Qing general, who had ensured the defection of the entire Beiyang Army from the Qing Empire to the revolution.	^ Looters shot dead amid chaos of Papua New Guinea's anti-Chinese riots.	 To curb inflation and moderate rising property prices, the Chinese government has instituted a number of fiscal regulations and amendments, raising interest rates and imposing limits on bank loans.	 China also has five subdivisions officially termed autonomous regions, each with a designated minority group; four municipalities; and two Special Administrative Regions (SARs), which enjoy a degree of political autonomy.	There is evidence that a form of association football was played in China around 1000 AD.	
After Yuan Shikai's death in 1916, China was politically fragmented, with an internationally recognized but virtually powerless national government seated in Beijing.	A traditional Beijing opera being performed.	This political division made it difficult for Chiang to battle the Communists, which the Kuomintang had been warring against since 1927 in the Chinese Civil War.	Effectively, political tutelage meant one-party rule by the Kuomintang, but the party was politically divided into competing cliques.	In the early years of the Ming Dynasty, China's capital was moved from Nanjing to Beijing.	
In 1947, constitutional rule was established, but because of the ongoing unrest many provisions of the ROC constitution were never implemented in mainland China.	The Second Sino-Japanese War (1937–1945), a part of World War II, forced an uneasy alliance between the Kuomintang and the Communists.	] was the Taiping Rebellion, a civil war which lasted from 1851 to 1862.	Sun Yat-sen of the Kuomintang (the KMT or Nationalist Party) was proclaimed provisional president of the republic.	 However, the Sui Dynasty declined following its defeat in the Goguryeo–Sui War (598–614).	
Hong Kong was ceded over to the British.	 The government has suppressed demonstrations by organizations that it considers a potential threat to "social stability", as was the case with the Tiananmen Square protests of 1989.	The People's Republic of China is a single-party state governed by the Communist Party of China.	 None of these figures include the 1,000 square kilometres (386.1 sq mi) of territory ceded to China by Tajikistan following the ratification of a Sino-Tajik border agreement in January 2011.	The Communist Party subsequently loosened governmental control over citizens' personal lives and the communes were disbanded with many peasants receiving multiple land leases, which greatly increased incentives and agricultural production.	
The American National Basketball Association has a huge following among Chinese youths, with ethnic Chinese players such as Yao Ming being held in high esteem.	From its founding in 1949 until late 1978, the People's Republic of China was a Soviet-style centrally planned economy, without private businesses or capitalism.	The People's Republic of China is a single-party state governed by the Communist Party of China.	China is also a member of numerous formal and informal multilateral organizations, including the WTO, APEC, BRICS, the Shanghai Cooperation Organisation, the BCIM and the G-20.	It was only in the nineteenth century that the term emerged as the formal name of the country.	
All judges at the superior and appellate levels are appointed after consultation with nongovernmental legal bodies.	The Supreme Court of Canada is the highest court and final arbiter and has been led by the Chief Justice Beverley McLachlin, P.C.	Lawrence River in the southeast, where lowlands host much of Canada's population.	By total area (including its waters), Canada is the second-largest country in the world, after Russia.	There are 600 recognized First Nations governments or bands, encompassing a total of 1,172,790 people.	
Criminal law is solely a federal responsibility and is uniform throughout Canada.	The federal cabinet also appoints justices to superior courts at the provincial and territorial levels.	There are 600 recognized First Nations governments or bands, encompassing a total of 1,172,790 people.	The 1977 Charter of the French Language established French as the official language of Quebec.	The country is officially bilingual at the federal level.	
 However, in most rural areas and some urban areas, policing responsibilities are contracted to the federal Royal Canadian Mounted Police.	They were reunified as the Province of Canada in 1841.	The area was later split into two British colonies, Upper Canada and Lower Canada.	Upon Confederation in 1867, Canada was adopted as the legal name for the new country, and the word Dominion was conferred as the country's title.	In 1867, with the union of three British North American colonies through Confederation, Canada was formed as a federal dominion of four provinces.	
English and French have equal status in federal courts, Parliament, and in all federal institutions.	This began an accretion of provinces and territories and a process of increasing autonomy, culminating in the Canada Act 1982.	The name Canada comes from the St.	The country is officially bilingual at the federal level.	 The Act of Union 1840 merged the Canadas into a united Province of Canada.	
Canada's two official languages are Canadian English and Canadian French.	Manitoba, Ontario, and Quebec allow for both English and French to be spoken in the provincial legislatures, and laws are enacted in both languages.	English and French are the first languages of 59.7 and 23.2 percent of the population respectively.	The most densely populated part of the country is the Quebec City – Windsor Corridor, situated in Southern Quebec and Southern Ontario along the Great Lakes and the St.	 In Quebec, cultural identity is strong, and many French-speaking commentators speak of a culture of Quebec that is distinct from English Canadian culture.	
As a continental landmass it is significantly larger than the many thousands of fringing islands ..."	The world's smallest continent and sixth largest country by total area, Australia—owing to its size and isolation—is often dubbed the "island continent", and is sometimes considered the world's largest island.	 In 1824, the Admiralty agreed that the continent should be known officially as Australia.	Largest populated areas in Australia	 The driest inhabited continent, only its south-east and south-west corners have a temperate climate.	
 Much of the southeast (including Tasmania) is temperate.	 Nevertheless, its population density, 2.8 inhabitants per square kilometre, remains among the lowest in the world.	Climatic zones in Australia, based on the Köppen climate classification.	Climate change has become an increasing concern in Australia in recent years, and protection of the environment is a major political issue.	 The southwest corner of the country has a Mediterranean climate.	
The number of verses differ from chapter to chapter.	The chapter arrangement is thus not connected to the sequence of revelation.	Sometimes the Angel comes in the form of a man and talks to me and I grasp whatever he says.	The first and last chapters of the Quran together written in the Shikastah style.	 In 2010, the Hürriyet Daily News and Economic Review reported that the Quran was presented in 112 languages at the 18th International Quran Exhibition in Tehran.	
The men of the battalion were middle-aged men of working-class background from Hamburg, who were unfit for military duty and were given no special training for genocide.	The 15 men seated at the table on January 20, 1942 to discuss the "final solution of the Jewish question" were considered the best and the brightest in the Reich.	Before being sent to the camps, the victims were herded into ghettos, including several hundred into the Warsaw Ghetto.	Even passivity was a form of resistance.	 In particular, over one million Jewish children were killed in the Holocaust, as were approximately two million Jewish women and three million Jewish men.	
^ "Results received at the Central Count Centre for the Referendum on Treaty of Lisbon 2009".	November 23 – In the Philippines, at least 58 are abducted and killed in an election-related massacre in the province of Maguindanao.	The United Nations Security Council condemns the reported test.	February 8 – The Taliban releases a video of Polish geologist Piotr Stańczak, whom they had abducted a few months earlier, being beheaded.	November 13 – Having analyzed the data from the LCROSS lunar impact, NASA announces that it has found a "significant" quantity of water in the Moon's Cabeus crater.	
June 30 – Yemenia Flight 626 crashes off the coast of Moroni, Comoros, killing all but one of the 153 passengers and crew.	July 5 – Over 150 are killed when a few thousand ethnic Uyghurs target local Han Chinese during major rioting in Ürümqi, Xinjiang.	August 22 – Ramadan begins	February 26 – Former Serbian president Milan Milutinović is acquitted by the International Criminal Tribunal for the former Yugoslavia regarding war crimes during the Kosovo War.	April 1 – Albania and Croatia are admitted to the North Atlantic Treaty Organization (NATO).	
Muhammad's wife Khadijah and his uncle Abu Talib both died in 619, the year thus being known as the "year of sorrow".	Note: Muslims believe that there were many prophets sent by God to mankind.	The year of sorrows: khadija (his wife) and Abu Talib (his uncle) die	The Islamic prophets above are only the ones mentioned by name in the Qur'an.	He then came under the care of his uncle Abu Talib, the new leader of Banu Hashim.	
Muslims must repeat the shahadah in the call to prayer (adhan) and the prayer itself.	Isra and Mi'raj (the ascention to heaven to meet God)	 Another description of Muhammad was provided by Umm Ma'bad, a woman he met on his journey to Medina:	Begins to gather followers in Mecca	Muhammad destroyed the pagan idols in Mecca and then sent his followers out to destroy all of the remaining pagan temples throughout Eastern Arabia.	
Alphonse de Lamartine quoted in Histoire de la Turquie (1854) on Muhammad;	If greatness of purpose, smallness of means and outstanding results are the three criteria of human genius, who could dare compare any great man in modern history with Muhammad.	Religion Is Not about God: How Spiritual Traditions Nurture Our Biological.	Muslims have traditionally expressed love and veneration for Muhammad.	He is believed by Muslims and Bahá'ís to be a messenger and prophet of God, and by most Muslims as the last prophet sent by God for mankind.	
 English is the official language of Pakistan, used in official business, government, and legal contracts; the local dialect is known as Pakistani English.	 Taxila had one of the earliest universities and centres of higher education in the world.	] of extending English medium education to all schools across the country.	 Pakistan expects to use the rail service to boost foreign trade with China, Iran and Turkey.	 Pakistan hosted a international seminar on Physics in Developing Countries for International Year of Physics 2005.	
Saraiki is mainly spoken in South Punjab.	Pashto is the provincial language of Khyber Pakhtunkhwa, Sindhi is the provincial language of Sindh, and Balochi is dominant in Balochistan.	More than sixty languages are spoken in Pakistan, including a number of provincial languages.	Punjabi is the commonest native language in Punjab and has many native speakers.	The name Pakistan literally means "Land of (the) Pure" in Urdu and Persian.	
The $1.6 billion project will be financed by the Japan Bank for International Cooperation and will be completed by 2013.	 It will comprise a hotel, a shopping center, an exhibition center and a revolving restaurant with a viewing gallery offering a panoramic view of the coastline and the city.	Major advertising companies including Interflow Communications, and Orient McCann Erickson have their head offices in Karachi.	The Port Grand Food and Entertainment Complex is the largest food street of Asia.	] approved the construction of two high-density zones, which will host the new city skyline.	
The location of these gates correspond to the modern areas of Kharadar (Khārā Dar) and Mithadar (Mīṭhā Dar).	The local Sindhi populace built a small fort, that was constructed for the protection of the city, armed with cannons imported by Sindhi sailors from Muscat, Oman.	Karachi is also known as city of lights and the city which never sleeps.	"KPT to build Rs20bn tower complex".	Toward the west and the north is Cape Monze, locally known as Raas Muari, an area marked by projecting sea cliffs and rocky sandstone promontories.	
 The Sindh Wildlife Conservation Building, located in Saddar, served as a Freemasonic Lodge until it was taken over by the government.	After the independence of Pakistan, the city population increased dramatically when hundreds of thousands of Muhajirs from India and other parts of South Asia came to settle in Karachi.	Leading medical schools of Pakistan like the Dow University of Health Sciences and the Aga Khan University are situated in Karachi.	The downtown districts of Saddar and Clifton contain a variety of early 20th-century architecture, ranging in style from the neo-classical KPT building to the Sindh High Court Building.	This article is about the city of Karachi.	
The 1867 Alaska Purchase from Russia completed the country's mainland expansion.	While they engaged in proxy wars and developed powerful nuclear arsenals, the two countries avoided direct military conflict.	According to prominent international rankings, 13 or 15 American colleges and universities are ranked among the top 20 in the world.	Within American political culture, the Republican Party is considered center-right or conservative and the Democratic Party is considered center-left or liberal.	American culture is considered the most individualistic in the world.	
Director D. W. Griffith was central to the development of film grammar and Orson Welles's Citizen Kane (1941) is frequently cited as the greatest film of all time.	An abandoned farm in South Dakota during the Dust Bowl, 1936	USA Collected links to historical data	The prosperity of the Roaring Twenties ended with the Wall Street Crash of 1929 that triggered the Great Depression.	 While its economy has reached a postindustrial level of development and its service sector constitutes 67.8% of GDP, the United States remains an industrial power.	
invaded Iraq in 2003, ousting Saddam Hussein.	The war and its resolution led to a substantial increase in federal power.	Click on a coloured region to get related article:	It emerged from World War II as the first country with nuclear weapons and a permanent member of the United Nations Security Council.	The country also possesses several territories in the Pacific and Caribbean.	
Click on a coloured region to get related article:	In 2011, a raid by Navy SEALs in Pakistan killed al-Qaeda leader Osama bin Laden.	 National infrastructure development spurred economic growth.	 In 2011 the United Nations Development Programme ranked the United States 23rd among 139 countries on its inequality-adjusted human development index (IHDI), nineteen places lower than in the standard HDI.	This article is about the United States of America.	
They achieved a victory at Caporetto.	The Dolchstoßlegende's popular acceptance in Germany played a significant role in the rise of Nazism.	Two Allied soldiers run towards a bunker.	World War I (WWI) was a global war centred in Europe that began on 28 July 1914 and lasted until 11 November 1918.	The First World War began as a clash of 20th-century technology and 19th-century tactics, with the inevitably large ensuing casualties.	
Many Germans thought victory was near.	Millions of middle-class Germans were ruined by hyperinflation.	As of "The Black Day of the German Army", the German High Command realised the war was lost and made attempts to reach a satisfactory end.	 To extend their operations, the Germans proposed supply submarines (1916).	Ludendorff, having been under great stress for months, suffered something similar to a breakdown.	
 Soon after that, however, Germany and Italy forced Czechoslovakia to cede additional territory to Hungary and Poland.	However, the Treaty of Peace with Japan was not signed until 1951, and that with Germany not until 1990.	"Stalin always believed that Britain and America were delaying the second front so that the Soviet Union would bear the brunt of the war"	Germany set out to establish a large empire in Europe.	Hitler defied the Versailles and Locarno treaties by remilitarizing the Rhineland in March 1936.	
=======
>>>>>>> db6ba7e80e2b031e51a47a4af4bd1aaebc2093ef
